Texto Completo
julio de 2024
DOMINGO
LUNES
MARTES
MIÉRCOLES
JUEVES
VIERNES
SÁBADO
"11:15, Ceremonia por 83° Aniversario de la inmolación del capitán FAP José Abelardo Quiñones Gonzales y Día de la Fuerza Aérea del Perú. Lugar: Sede FAP - Santiago de Surco, Calendario: Agenda Presidencial, Sin ubicación, 23 de julio de 2024"
"09:00, Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 24 de julio de 2024"
"11:30, Ceremonia de lanzamiento de las becas APEC Ciudadano Microsoft. Lugar: Cancillería - Lima Cercado, Calendario: Agenda Presidencial, Sin ubicación, 25 de julio de 2024"
"19:00, Promulgación de ley que aprueba crédito suplementario. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 25 de julio de 2024"
"10:00, Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 26 de julio de 2024"
"10:30, Suscripción de convenio para la transferencia del proyecto Majes Siguas al Gobierno central. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 26 de julio de 2024"
"Todo el día, No hubo actividades oficiales qué registrar, Calendario: Agenda Presidencial, Sin ubicación, 27 de julio de 2024"
"08:00, Misa Solemne y Te Deum. Lugar: Basílica Catedral de Lima, Calendario: Agenda Presidencial, Sin ubicación, 28 de julio de 2024"
"11:15, Mensaje a la Nación. Lugar: Congreso de la República, Calendario: Agenda Presidencial, Sin ubicación, 28 de julio de 2024"
"19:00, Saludo del cuerpo diplomático y altas autoridades. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 28 de julio de 2024"
"08:00, Ceremonia de Acción de Gracias por el Perú. Lugar: Misión Cristiana Camino de Vida - Santiago de Surco, Calendario: Agenda Presidencial, Sin ubicación, 29 de julio de 2024"
"10:00, Gran Parada y Desfile Cívico-Militar. Lugar: Jesús María, Calendario: Agenda Presidencial, Sin ubicación, 29 de julio de 2024"
"Todo el día, No hubo actividades oficiales qué registrar, Calendario: Agenda Presidencial, Sin ubicación, 30 de julio de 2024"
"09:00, Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 31 de julio de 2024"
"10:00, Clausura de feria Ruraq Maki. Lugar: Ministerio de Cultura - San Borja, Calendario: Agenda Presidencial, Sin ubicación, 31 de julio de 2024"
"20:30, Presentación cultural por el Bicentenario de la Batalla de Junín y Día del Arma de Caballería. Lugar: Gran Teatro Nacional - San Borja., Calendario: Agenda Presidencial, Sin ubicación, 31 de julio de 2024"
""
