"num_eventos,dia_semana,fecha",hora,mes_y_ano,anio,descripcion,lugar
"2 eventos, viernes, 26 de julio",10:00,Julio de 2024,2024,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
"2 eventos, viernes, 26 de julio",10:30,Julio de 2024,2024,Suscripción de convenio para la transferencia del proyecto Majes Siguas al Gobierno central,Lugar: Palacio de Gobierno
"1 evento, sábado, 27 de julio",N.A.,Julio de 2024,2024,No hubo actividades oficiales qué registrar,N.A.
"3 eventos, domingo, 28 de julio",08:00,Julio de 2024,2024,Misa Solemne y Te Deum,Lugar: Basílica Catedral de Lima
"3 eventos, domingo, 28 de julio",11:15,Julio de 2024,2024,Mensaje a la Nación,Lugar: Congreso de la República
"3 eventos, domingo, 28 de julio",19:00,Julio de 2024,2024,Saludo del cuerpo diplomático y altas autoridades,Lugar: Palacio de Gobierno
"2 eventos, lunes, 29 de julio",08:00,Julio de 2024,2024,Ceremonia de Acción de Gracias por el Perú,Lugar: Misión Cristiana Camino de Vida - Santiago de Surco
"2 eventos, lunes, 29 de julio",10:00,Julio de 2024,2024,Gran Parada y Desfile Cívico-Militar,Lugar: Jesús María
"1 evento, martes, 30 de julio",N.A.,Julio de 2024,2024,No hubo actividades oficiales qué registrar,N.A.
"3 eventos, miércoles, 31 de julio",09:00,Julio de 2024,2024,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
"3 eventos, miércoles, 31 de julio",10:00,Julio de 2024,2024,Clausura de feria Ruraq Maki,Lugar: Ministerio de Cultura - San Borja
"3 eventos, miércoles, 31 de julio",20:30,Julio de 2024,2024,Presentación cultural por el Bicentenario de la Batalla de Junín y Día del Arma de Caballería,Lugar: Gran Teatro Nacional - San Borja.
"1 evento, domingo, 26 de mayo",13:00,Junio de 2024,2024,Ceremonia de reconocimiento al personal policial que participó en el rescate de empresaria peruana,N.A.
"1 evento, lunes, 27 de mayo",N.A.,Junio de 2024,2024,No hubo actividades oficiales que registrar,N.A.
"2 eventos, martes, 28 de mayo",15:00,Junio de 2024,2024,"Lanzamiento de la feria ""Cosechando la Diversidad, Alimentando la Esperanza""",N.A.
"2 eventos, martes, 28 de mayo",19:00,Junio de 2024,2024,Reunión con autoridades de Cajamarca,N.A.
"4 eventos, miércoles, 29 de mayo",09:00,Junio de 2024,2024,Sesión de Consejo de Ministros,N.A.
"4 eventos, miércoles, 29 de mayo",14:00,Junio de 2024,2024,"Ceremonia de firma de contrato entre el gobierno peruano, la Municipalidad Metropolitana de Lima y Panam Sports para la organización de Lima 2027",N.A.
