num_eventos,dia_semana,fecha,ultima_palabra_fecha,hora,descripcion,anio,mes_y_ano
1 evento,viernes,21 de mayo,mayo,13:00,"Presidente Francisco Sagasti brinda informe de gestión de los 6 meses de gobierno, en televisión nacional.",2021,Mayo de 2021
1 evento,sábado,22 de mayo,mayo,09:00,Presidente Francisco Sagasti brinda entrevista al programa Enfoque de los Sábados en RPP.,2021,Mayo de 2021
1 evento,martes,25 de mayo,mayo,08:00,"Presidente Francisco Sagasti visita región La Libertad para entregar 101,790 dosis de vacunas para la inmunización de adultos mayores de La Libertad y 1 planta de oxígeno móvil de 20 m3/h para el Hospital Regional de Trujillo. Además, supervisa Nuevo Hospital Cesar Vallejo de Santiago de Chuco y se reúne con Gobernador Regional de La Libertad y autoridades locales.",2021,Mayo de 2021
2 eventos,miércoles,26 de mayo,mayo,09:00,Presidente Francisco Sagasti lidera sesión del Consejo de Ministros,2021,Mayo de 2021
2 eventos,miércoles,26 de mayo,mayo,11:00,El presidente Francisco Sagasti participará de la sesión solemne por el 90º Aniversario de creación del Jurado Nacional de Elecciones (vía virtual en Sala Grau).,2021,Mayo de 2021
1 evento,jueves,27 de mayo,mayo,08:00,"El presidente Francisco Sagasti viajó a la región Pasco para supervisar la situación en el Valle de los ríos Apurímac, Ene y Mantaro (ce-VRAEM) en base Mazamari. Además, supervisó actividades de intervención inmediata de Trabaja Perú en el distrito de Pozuzo: limpieza, mantenimiento y acondicionamiento del corredor turístico la ruta del colono en Prusia, la colonia y Bajo Chancarizo. Sostuvo también  de trabajo con el gobernador regional de Pasco y autoridades locales y finalmente, participó en la suscripción del contrato de asistencia técnica para la construcción de la autopista Daniel Alcides Carrión. Lo acompañan ministro de Trabajo y titular de Transportes y Comunicaciones.",2021,Mayo de 2021
2 eventos,viernes,28 de mayo,mayo,08:00,Presidente Francisco Sagasti lidera Consejo para la Reforma del Sistema de Justicia acompañado de diversas autoridades.,2021,Mayo de 2021
2 eventos,viernes,28 de mayo,mayo,09:00,Presidente Francisco Sagasti lidera Consejo de Estado.,2021,Mayo de 2021
1 evento,lunes,31 de mayo,mayo,08:00,"El presidente Francisco Sagasti participó de manera virtual en la sesión Diálogo de Líderes del P4G Summit y en la ceremonia de clausura de la Adopción de la Declaración de Seúl, como parte de la Cumbre P4G de Seúl.",2021,Mayo de 2021
1 evento,martes,1 de junio,junio,08:00,"El presidente Francisco Sagasti cumple agenda de trabajo en la región Puno donde entrega 103,330 dosis de vacunas de AstraZeneca para la inmunización de adultos mayores de la región. Además, supervisa el proyecto de mejoramiento de Viviendas Rurales, y sostiene una reunión con el Gobernador regional y autoridades locales. Finalmente, hace entrega de títulos de propiedad de Cofopri a beneficiarios de Puno.",2021,Mayo de 2021
2 eventos,miércoles,2 de junio,junio,09:00,Presidente Francisco Sagasti lidera sesión del Consejo de Ministros,2021,Mayo de 2021
2 eventos,miércoles,2 de junio,junio,10:00,Presidente Francisco Sagasti interviene en la Sesión Extraordinaria de la Asamblea General de la ONU sobre corrupción. Con el lema UNCAC: UnitedAgainstCorruption,2021,Mayo de 2021
1 evento,jueves,3 de junio,junio,16:00,"El presidente Francisco Sagasti recibió a la Misión de Observación Electoral de la OEA para ratificar el apoyo del Gobierno a sus integrantes por contribuir con el fortalecimiento de la democracia y transparencia de las elecciones de segunda vuelta. Participaron el jefe y subjefe de la Misión de Observación Electoral de la OEA, Rubén Ramírez y Gerardo Sánchez; el director del Departamento para la Cooperación y Observación Electoral de la OEA, Gerardo de Icaza; y el representante de la OEA en Perú, Miguel Trinidad.",2021,Mayo de 2021
