num_eventos;dia_semana;fecha;ultima_palabra_fecha;hora;descripción;anio;mes_ano,ano;;
1 evento; lunes; 17 de junio;junio;11:00;Reunión con GORE y alcaldes de la región Cusco. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
1 evento; martes; 18 de junio;junio;15:00;II sesión ordinaria 2024 del Consejo Nacional de Seguridad Ciudadana. Lugar: Palacio de Gobierno.;2024;Junio de 2024;;
2 eventos; miércoles; 19 de junio;junio;09:00;Consejo de Ministros. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
2 eventos; miércoles; 19 de junio;junio;17:00;Reunión con el Presidente y CEO de DP World (DPW), Sultán Ahmed bin Sulayem. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
3 eventos; jueves; 20 de junio;junio;04:45;"Operativo ""Amanecer Seguro"" a nivel nacional. Lugar: Dirección de Aviación Policial";2024;Junio de 2024;;
3 eventos; jueves; 20 de junio;junio;10:00;Inauguración del Muelle Bicentenario. Lugar: Callao;2024;Junio de 2024;;
3 eventos; jueves; 20 de junio;junio;12:30;Reunión con la Sociedad Nacional de Industrias. Lugar: Palacio de Gobierno.;2024;Junio de 2024;;
2 eventos; viernes; 21 de junio;junio;08:15;"Intervención multisectorial ""El Perú se abriga - Frío cero"". Lugar: Villa María del Triunfo";2024;Junio de 2024;;
2 eventos; viernes; 21 de junio;junio;12:30;"Ceremonia por el 59.° aniversario de ""Los Sinchis"". Lugar: Mazamari, Junín.";2024;Junio de 2024;;
1 evento; sábado; 22 de junio;junio;N.A.;No hubo actividades oficiales que registrar;2024;Junio de 2024;;
1 evento; domingo; 23 de junio;junio;19:00;Viaje para Visita de Estado a la República Popular de China. Lugar: Aeropuerto Internacional Jorge Chávez.;2024;Junio de 2024;;
3 eventos; lunes; 24 de junio;junio;06:30;Llegada a Paris, Francia. (1:30 p. m. horas, Francia);2024;Junio de 2024;;
3 eventos; lunes; 24 de junio;junio;13:45;Reunión de trabajo virtual con el presidente del Consejo de Ministros, ministro de Relaciones Exteriores y secretario general del Despacho Presidencial (20:45 horas, Francia);2024;Junio de 2024;;
3 eventos; lunes; 24 de junio;junio;16:30;Salida de París a Hong Kong (11:30 p. m. horas, Francia);2024;Junio de 2024;;
5 eventos; martes; 25 de junio;junio;04:30;Llegada a Hong Kong (05:30 p. m. horas, China);2024;Junio de 2024;;
5 eventos; martes; 25 de junio;junio;06:30;Salida de Hong Kong a Shenzhen en tren bala. (7:26 p. m. horas, China);2024;Junio de 2024;;
5 eventos; martes; 25 de junio;junio;06:45;Llegada a Shenzhen, China (7:40 p. m. horas, China);2024;Junio de 2024;;
5 eventos; martes; 25 de junio;junio;10:45;Reunión de trabajo virtual con el presidente del Consejo de Ministros y los ministros que la acompañan en la Visita de Estado. (11:45 p.m. horas, China);2024;Junio de 2024;;
5 eventos; martes; 25 de junio;junio;20:30;"Inauguración de la exhibición ""Los Incas y su Tawantinsuyo"" en el Museo Nanshan, de Shenzhen. (09:30 a. m. del 26 de Junio, horas, China)";2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;00:30;Suscripción de convenio de cooperación con Huawei, en Shenzhen. (01:30 p. m. horas, China);2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;01:20;"Reunión con el Presidente de la compañía ""Automotriz BYD"" . Lugar: Shenzhen (2:20 p.m. Horas, China)";2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;04:00;"Reunión con la empresa ""ELINC - China Electronic Corporation(CEC). Lugar: Shenzhen ( 5:00 p.m. Horas, China)";2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;05:30;Saludo Protocolar con autoridades políticas de Shenzhen. (6:30 p.m. Horas, China);2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;10:45;Llegada a Shanghái ( 11:45 a.m. horas, China);2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;12:30;Sesión virtual de Consejo de Ministros . Lugar: Shanghái ( 1:30 a.m. Horas, China);2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;20:00;"Conferencia Magisterial ""Oportunidades de Inversión en el Perú"". Lugar: Shanghái ( 9:00 a.m. del 27 de Junio, Horas, China)";2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;21:30;"Reunión con el Presidente de ""China Southern Power Grid Limited (CSG)"" Lugar: Shanghái (10:15 a.m. del 27 de junio. Horas, China)";2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;22:20;Reunión con el Director del Centro de Innovación de Medicina Digital de Shanghái. Lugar: Shanghái (11:20 a.m. del 27 de Junio, Horas, China);2024;Junio de 2024;;
10 eventos; miércoles; 26 de junio;junio;23:00;"Reunión con el Presidente de ""Cosco Shipping Corporation Limited"" Lugar: Shanghái (12:30 p,m. del 27 de junio, Horas, China)";2024;Junio de 2024;;
4 eventos; jueves; 27 de junio;junio;03:15;Visita al Pabellón de exposición del Parque Industrial de Suzhóu. Lugar: Suzhóu (4:15 p.m. Horas, China);2024;Junio de 2024;;
4 eventos; jueves; 27 de junio;junio;04:00;Visita a la empresa Higer en el Parque Industrial de Suzhóu. Lugar: Suzhóu (5:00 p.m. Horas, China);2024;Junio de 2024;;
