num_eventos,dia_semana,fecha,primera_palabra_fecha,ultima_palabra_fecha,hora,anio,mes_y_ano,descripcion
2 eventos,miércoles,26 de mayo,26,mayo,11:00,2021,Mayo de 2021,El presidente Francisco Sagasti participará de la sesión solemne por el 90º Aniversario de creación del Jurado Nacional de Elecciones (vía virtual en Sala Grau).
1 evento,jueves,27 de mayo,27,mayo,08:00,2021,Mayo de 2021,"El presidente Francisco Sagasti viajó a la región Pasco para supervisar la situación en el Valle de los ríos Apurímac, Ene y Mantaro (ce-VRAEM) en base Mazamari. Además, supervisó actividades de intervención inmediata de Trabaja Perú en el distrito de Pozuzo: limpieza, mantenimiento y acondicionamiento del corredor turístico la ruta del colono en Prusia, la colonia y Bajo Chancarizo. Sostuvo también  de trabajo con el gobernador regional de Pasco y autoridades locales y finalmente, participó en la suscripción del contrato de asistencia técnica para la construcción de la autopista Daniel Alcides Carrión. Lo acompañan ministro de Trabajo y titular de Transportes y Comunicaciones."
2 eventos,viernes,28 de mayo,28,mayo,08:00,2021,Mayo de 2021,Presidente Francisco Sagasti lidera Consejo para la Reforma del Sistema de Justicia acompañado de diversas autoridades.
2 eventos,viernes,28 de mayo,28,mayo,09:00,2021,Mayo de 2021,Presidente Francisco Sagasti lidera Consejo de Estado.
1 evento,lunes,31 de mayo,31,mayo,08:00,2021,Mayo de 2021,"El presidente Francisco Sagasti participó de manera virtual en la sesión Diálogo de Líderes del P4G Summit y en la ceremonia de clausura de la Adopción de la Declaración de Seúl, como parte de la Cumbre P4G de Seúl."
1 evento,martes,1 de junio,1,junio,08:00,2021,Mayo de 2021,"El presidente Francisco Sagasti cumple agenda de trabajo en la región Puno donde entrega 103,330 dosis de vacunas de AstraZeneca para la inmunización de adultos mayores de la región. Además, supervisa el proyecto de mejoramiento de Viviendas Rurales, y sostiene una reunión con el Gobernador regional y autoridades locales. Finalmente, hace entrega de títulos de propiedad de Cofopri a beneficiarios de Puno."
2 eventos,miércoles,2 de junio,2,junio,09:00,2021,Mayo de 2021,Presidente Francisco Sagasti lidera sesión del Consejo de Ministros
2 eventos,miércoles,2 de junio,2,junio,10:00,2021,Mayo de 2021,Presidente Francisco Sagasti interviene en la Sesión Extraordinaria de la Asamblea General de la ONU sobre corrupción. Con el lema UNCAC: UnitedAgainstCorruption
1 evento,jueves,3 de junio,3,junio,16:00,2021,Mayo de 2021,"El presidente Francisco Sagasti recibió a la Misión de Observación Electoral de la OEA para ratificar el apoyo del Gobierno a sus integrantes por contribuir con el fortalecimiento de la democracia y transparencia de las elecciones de segunda vuelta. Participaron el jefe y subjefe de la Misión de Observación Electoral de la OEA, Rubén Ramírez y Gerardo Sánchez; el director del Departamento para la Cooperación y Observación Electoral de la OEA, Gerardo de Icaza; y el representante de la OEA en Perú, Miguel Trinidad."
1 evento,lunes,29 de marzo,29,marzo,11:30,2021,Abril de 2021,Presidente Francisco Sagasti promulga norma que modifica la Ley de Trata de Personas y considera delitos de trata de personas y de explotación como delitos contra la dignidad humana.
1 evento,martes,30 de marzo,30,marzo,08:00,2021,Abril de 2021,"Presidente Francisco Sagasti visita la región Arequipa para entregar equipamiento médico al Hospital Honorio Delgado y una Planta de oxígeno en Islay. Además, supervisa la entrega de un proyecto en servicios de saneamiento en el distrito de Sabandía."
2 eventos,miércoles,31 de marzo,31,marzo,08:00,2021,Abril de 2021,Presidente Francisco Sagasti lidera sesión del Consejo de Ministros
2 eventos,miércoles,31 de marzo,31,marzo,15:00,2021,Abril de 2021,"El presidente Francisco Sagasti lidera sesión de instalación de la Comisión Multisectorial de Ciencia, Tecnología e Innovación."
1 evento,sábado,3 de abril,3,abril,09:00,2021,Abril de 2021,"El presidente Francisco Sagasti, junto con los titulares del Minsa y Mininter, supervisa el inicio del proceso de vacunación contra la COVID-19 a los integrantes del Cuerpo General de Bomberos Voluntarios del Perú."
1 evento,martes,6 de abril,6,abril,08:00,2021,Abril de 2021,"El presidente Francisco Sagasti, junto con el titular del Minsa, Óscar Ugarte, lideró la entrega de camas UCI y equipamiento médico para los hospitales de la región Ica.."
1 evento,miércoles,7 de abril,7,abril,18:00,2021,Abril de 2021,"El presidente Francisco Sagasti, junto con los titulares de la PCM y Minsa, lideró la llegada de un lote de 200 mil dosis de vacuna del laboratorio Pfizer contra la COVID-19 ."
1 evento,jueves,8 de abril,8,abril,12:00,2021,Abril de 2021,"El presidente Francisco Sagasti, junto con el ministro de Salud, Oscar Ugarte, supervisa el renovado centro quirúrgico del Hospital Dos de Mayo y lidera la entrega de 90 camas UCI para hospitales del Minsa."
1 evento,viernes,9 de abril,9,abril,20:00,2021,Abril de 2021,El presidente Francisco Sagasti brinda un mensaje a la Nación.
1 evento,domingo,11 de abril,11,abril,08:00,2021,Abril de 2021,"El jefe de Estado, Francisco Sagasti, ejerció su derecho a voto en las Elecciones Generales 2021."
2 eventos,miércoles,14 de abril,14,abril,08:00,2021,Abril de 2021,"El presidente Francisco Sagasti, junto con el titular del Minsa, Oscar Ugarte, presenta el nuevo Plan de Vacunación contra la COVID-19 y la plataforma digital Pongo El Hombro."
2 eventos,miércoles,14 de abril,14,abril,09:00,2021,Abril de 2021,Presidente Francisco Sagasti lidera sesión del Consejo de Ministros.
3 eventos,viernes,16 de abril,16,abril,09:00,2021,Abril de 2021,"El jefe de Estado, Francisco Sagasti, acompañado del titular del Minsa, Óscar Ugarte y el director ejecutivo del proyecto Legado, Alberto Valenzuela, supervisó el desarrollo de la vacunación de adultos mayores de 80 años en el Complejo Deportivo Andrés Avelino Cáceres."
3 eventos,viernes,16 de abril,16,abril,11:00,2021,Abril de 2021,"El presidente Francisco Sagasti, junto con el titular del Minam, Gonzalo Quijandría, lideró la ceremonia de reconocimiento a los ganadores y menciones honrosas del Premio Nacional Ambiental 2020."
3 eventos,viernes,16 de abril,16,abril,12:00,2021,Abril de 2021,"El jefe de Estado, Francisco Sagasti, junto con el presidente del Concytec, Benjamín Marticorena, participó en la instalación de la Comisión Consultiva de Ciencia, Tecnología e Innovación, encargada de identificar iniciativas para el desarrollo científico, tecnológico e innovador."
