"num_eventos,dia_semana,fecha",hora,descripcion,lugar,mes_y_ano
"3 eventos, lunes, 24 de junio",06:30,"Llegada a Paris, Francia","(1:30 p. m. horas, Francia)",Junio de 2024
"3 eventos, lunes, 24 de junio",13:45,"Reunión de trabajo virtual con el presidente del Consejo de Ministros, ministro de Relaciones Exteriores y secretario general del Despacho Presidencial (20:45 horas, Francia)",N.A.,Junio de 2024
"3 eventos, lunes, 24 de junio",16:30,Salida de París a Hong Kong (11:30 p,"m. horas, Francia)",Junio de 2024
"5 eventos, martes, 25 de junio",04:30,Llegada a Hong Kong (05:30 p,"m. horas, China)",Junio de 2024
"5 eventos, martes, 25 de junio",06:30,Salida de Hong Kong a Shenzhen en tren bala,"(7:26 p. m. horas, China)",Junio de 2024
"5 eventos, martes, 25 de junio",06:45,"Llegada a Shenzhen, China (7:40 p","m. horas, China)",Junio de 2024
"5 eventos, martes, 25 de junio",10:45,Reunión de trabajo virtual con el presidente del Consejo de Ministros y los ministros que la acompañan en la Visita de Estado,"(11:45 p.m. horas, China)",Junio de 2024
"5 eventos, martes, 25 de junio",20:30,"Inauguración de la exhibición ""Los Incas y su Tawantinsuyo"" en el Museo Nanshan, de Shenzhen","(09:30 a. m. del 26 de Junio, horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",00:30,"Suscripción de convenio de cooperación con Huawei, en Shenzhen","(01:30 p. m. horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",01:20,"Reunión con el Presidente de la compañía ""Automotriz BYD"" ","Lugar: Shenzhen (2:20 p.m. Horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",04:00,"Reunión con la empresa ""ELINC - China Electronic Corporation(CEC)","Lugar: Shenzhen ( 5:00 p.m. Horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",05:30,Saludo Protocolar con autoridades políticas de Shenzhen,"(6:30 p.m. Horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",10:45,Llegada a Shanghái ( 11:45 a,"m. horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",12:30,Sesión virtual de Consejo de Ministros ,"Lugar: Shanghái ( 1:30 a.m. Horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",20:00,"Conferencia Magisterial ""Oportunidades de Inversión en el Perú""","Lugar: Shanghái ( 9:00 a.m. del 27 de Junio, Horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",21:30,"Reunión con el Presidente de ""China Southern Power Grid Limited (CSG)"" Lugar: Shanghái (10:15 a","m. del 27 de junio. Horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",22:20,Reunión con el Director del Centro de Innovación de Medicina Digital de Shanghái,"Lugar: Shanghái (11:20 a.m. del 27 de Junio, Horas, China)",Junio de 2024
"10 eventos, miércoles, 26 de junio",23:00,"Reunión con el Presidente de ""Cosco Shipping Corporation Limited"" Lugar: Shanghái (12:30 p,m","del 27 de junio, Horas, China)",Junio de 2024
"4 eventos, jueves, 27 de junio",03:15,Visita al Pabellón de exposición del Parque Industrial de Suzhóu,"Lugar: Suzhóu (4:15 p.m. Horas, China)",Junio de 2024
"4 eventos, jueves, 27 de junio",04:00,Visita a la empresa Higer en el Parque Industrial de Suzhóu,"Lugar: Suzhóu (5:00 p.m. Horas, China)",Junio de 2024
"4 eventos, jueves, 27 de junio",05:20,"Saludo Protocolar con el Secretario del Comité Provincial de Jiangsu del Partido Comunista Chino (PPCh) ( Horas, China)",N.A.,Junio de 2024
"4 eventos, jueves, 27 de junio",10:00,"Llegada a Pekín, República Popular China ( 11:00 p","m. Horas, China)",Junio de 2024
"7 eventos, viernes, 28 de junio",01:15,Reunión oficial con el Presidente del Comité de la Asamblea Popular Nacional,"Lugar: Pekín ( 2:15 p. m. Horas, China)",Junio de 2024
"7 eventos, viernes, 28 de junio",02:15,Reunión oficial con el Primer Ministro de la República Popular China,"Lugar: Pekín ( 3:15 p. m. Horas, China)",Junio de 2024
"7 eventos, viernes, 28 de junio",03:30,Ceremonia de Bienvenida Presidencial con el Presidente de la República Popular China,"Lugar: Pekín ( 4:30 p. m. Horas, China)",Junio de 2024
"7 eventos, viernes, 28 de junio",03:45,Reunión oficial con el Presidente de la República Popular China,"Lugar: Pekín ( 4:45 p. m. Horas, China)",Junio de 2024
"7 eventos, viernes, 28 de junio",04:30,Ceremonia de Firma de Convenios,"Lugar: Pekín ( 5:30 p. m. Horas, China)",Junio de 2024
"7 eventos, viernes, 28 de junio",08:00,Reunión Virtual con el COEN para evaluación de daños ante el sismo en Arequipa,Lugar: Pekin ( 9:00 p.m. Horas China),Junio de 2024
"7 eventos, viernes, 28 de junio",19:30,Reunión con representantes de China Minmetals Corporation,"Lugar: Pekín. (08.30 a.m. del 29 de junio, Horas, China)",Junio de 2024
"1 evento, sábado, 29 de junio",10:00,Salida a la ciudad de Lima,"Lugar: Pekín (11:00pm, horas, China)",Junio de 2024
"1 evento, domingo, 30 de junio",16:15,Llegada a Perú desde China,N.A.,Junio de 2024
"1 evento, lunes, 1 de julio",N.A.,No hubo actividades oficiales qué registrar,N.A.,Junio de 2024
"1 evento, martes, 2 de julio",N.A.,No hubo oficiales oficiales qué registrar,N.A.,Junio de 2024
"3 eventos, miércoles, 3 de julio",09:00,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno,Junio de 2024
"3 eventos, miércoles, 3 de julio",12:00,Suscripción de contratos de concesión de hospitales EsSalud en Piura y Chimbote,Lugar: Palacio de Gobierno.,Junio de 2024
"3 eventos, miércoles, 3 de julio",18:00,Firma de acuerdo comercial entre Senam Perú SAC y Korea Aerospace Industries (KAI),Lugar: Complejo Deportivo FAP. Surco,Junio de 2024
"4 eventos, jueves, 4 de julio",10:00,"Recibimiento a presidente de Ecuador, Daniel Noboa Azín",Lugar: Palacio de Gobierno,Junio de 2024
"4 eventos, jueves, 4 de julio",10:15,Encuentro Presidencial y XV Gabinete Binacional de Ministros Perú-Ecuador,N.A.,Junio de 2024
"4 eventos, jueves, 4 de julio",13:45,Suscripción de la Declaración presidencial de Lima,Lugar: Palacio de Gobierno,Junio de 2024
"4 eventos, jueves, 4 de julio",18:00,Promulgación de la ley que crea la Universidad Nacional Fronteriza Autónoma de Yunguyo en Puno,Lugar: Palacio de Gobierno.,Junio de 2024
"1 evento, viernes, 5 de julio",10:00,41,° Aniversario de la Dirección contra el Terrorismo de la Policía Nacional del Perú. Lugar: Club AOPIP - Santiago de Surco.,Junio de 2024
"1 evento, sábado, 6 de julio",07:00,Mensaje por el Día del Maestro,Lugar: Palacio de Gobierno,Junio de 2024
